Pathway,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63
Peroxisome,-0.88471913,-0.37737203,-0.7920858,0.61581254,0.30168486,0.08438789,0.2935296,-0.20510271,-0.48472393,0.14758112,0.6732903,-0.6368681,0.20163399,0.41022494,0.38506028,-0.06381428,-0.5650773,-1.1316634,-0.06990277,0.8170025,0.3242323,0.701956,0.0014564269,0.07086588,-0.8406086,0.22926469,-0.038463254,-0.010504642,0.22483942,-0.40280214,-0.055897113,-0.31539506,0.42626143,0.2919367,-0.45325482,0.002619603,-0.099679984,-0.46372086,0.30823883,0.8245222,-0.05626598,0.09663128,-0.29955876,-0.06958222,0.16338654,-0.2455296,0.18041903,0.19111063,-0.16770312,0.7256399,0.5217448,0.50891334,0.5522932,0.25018618,-0.299982,-0.45791048,-0.08657966,0.010064162,-0.5254086,0.5876247,-0.34075662,0.47834495,0.43186727,-0.17173605
N-Glycan biosynthesis,-0.16261758,-0.11435741,0.44651404,0.6608555,-0.14155608,0.6005916,0.01859028,0.69600457,-1.4279253,0.75595796,0.95935065,-1.5186656,-0.7470512,-0.59278804,0.8378573,1.0639416,0.08948221,0.1013167,0.7545403,0.56366754,0.6463845,-0.016242484,0.5031833,-1.0106882,-0.32500434,-0.27708343,0.45261645,-0.6113732,0.20386106,-0.5280217,-0.3503421,-0.11135601,0.14975964,1.095011,-1.1582687,0.6766181,1.0718164,-1.4232326,0.6005777,-0.11867429,-0.11147144,-0.06979105,0.027682895,0.034223415,0.08545264,-0.8586912,0.24445383,-0.3266337,0.29490972,0.39332956,0.44816557,0.464145,1.0558125,-0.13602947,-0.3527882,-0.27262473,0.12433648,0.06707012,-0.13260533,0.26455477,0.32867286,1.057514,0.15020831,0.4563407
Various types of N-glycan biosynthesis,-0.06603795,-0.004200354,0.5547237,0.78411406,0.03287,0.53086036,0.23060004,0.6145541,-1.4182732,0.889069,0.979927,-1.4783033,-0.6514133,-0.49742204,0.8864756,1.0556985,0.18329212,0.077167705,0.7765636,0.4788717,0.56532204,0.04282198,0.3094442,-1.1046505,-0.34121194,-0.27770308,0.5906929,-0.48461765,0.12887613,-0.70815724,-0.38398376,-0.34009066,0.11360452,1.0987659,-1.1067611,0.7389432,0.98147535,-1.4310063,0.5743478,-0.040564492,-0.2551227,-0.32947817,0.039725464,-0.005393302,0.18421222,-0.7436875,0.064099684,-0.21934947,0.18596782,0.6136252,0.35936403,0.52309746,1.129282,-0.13602708,-0.19470568,-0.1728851,0.1626145,0.10298764,-0.24682564,0.2573427,0.07385328,1.0645186,-0.019136319,0.35841975
RIG-I-like receptor signaling pathway,0.2498949,-0.56882393,0.19260044,0.7870685,-0.11411743,0.43659618,-0.076283075,0.5240975,-0.45460573,0.15440139,0.093013436,-0.19165604,-0.45189303,-0.4438802,-0.501376,0.22590698,-0.057909396,-0.16515197,0.23712716,0.30406034,0.39031658,0.8950453,0.5651333,-0.29493287,-0.5204775,-0.057055894,-0.206307,-0.33871666,-0.25000238,-0.9447652,0.0693883,-0.39249203,0.17238635,0.32846645,-0.25340474,0.23055623,-0.33041605,-0.15476103,-0.30561385,0.06454861,-0.07024522,0.13046466,0.49411136,-0.38445014,0.46358112,0.05014337,-0.11336991,-0.13032225,-0.55195034,0.34611928,0.076714836,-0.18562579,0.20762,-0.93198055,-0.31058347,0.17993863,0.061495308,0.22411938,0.45189244,0.34138596,-0.39567497,-0.08579487,0.35140026,0.71141857
Oocyte meiosis,0.1530465,-0.673818,-1.0718242,1.1415772,0.15323038,-0.43193802,-0.27064127,0.25554433,-1.5110245,-0.9090615,0.6761196,-1.5757468,-0.40629476,0.2871979,0.6558468,0.327018,-0.26612592,0.060935434,-0.058390424,0.55338454,0.49490872,1.0435162,-0.41905552,-0.42988145,0.49108902,-0.36065188,-0.434022,-0.85067475,-0.14329681,0.43955782,-0.5643818,0.3977492,0.06662171,-0.5326048,-1.0594904,0.31041467,-0.524109,-0.7145655,-0.024481053,0.43850115,-0.37208316,-0.2045152,0.8529752,-0.05339115,0.10829927,-0.4562741,0.5063373,-0.7787805,-0.1994066,1.0919695,0.11175489,-0.48574662,1.0259701,-0.66278285,-0.48100388,-0.55332875,0.034668766,-0.57487214,0.2679259,1.2143068,0.41524976,0.41890272,-0.33117646,0.37470025
Progesterone-mediated oocyte maturation,0.16697611,-0.41415823,-1.064539,1.0219743,0.2853948,-0.31733218,-0.4976056,0.14386624,-1.5170397,-0.9967767,0.7568809,-1.6311479,-0.5313089,0.48189363,0.48952135,0.22120166,-0.36565703,-0.027970506,0.08959134,0.59173155,0.5076612,1.0863291,-0.26512605,-0.44792256,0.57472837,-0.4853502,-0.22720875,-0.9490591,-0.09296476,0.42905343,-0.49128884,0.38942638,0.12584773,-0.508194,-0.98806417,0.15557133,-0.47558898,-0.735111,0.14698572,0.6222329,-0.3750981,-0.19723181,0.7288218,0.075125255,0.23326229,-0.47502607,0.49214768,-0.7317516,-0.03804027,1.1522325,0.06978505,-0.33323774,0.9056806,-0.79695016,-0.3427455,-0.47679293,-0.060887724,-0.7152508,0.2851496,1.2133925,0.3671298,0.51358855,-0.3150826,0.5449414
Ribosome,-0.19628552,-0.06433805,0.11238899,0.17497203,-0.10732778,0.19940336,0.25595316,0.040876936,-0.5315761,-0.14198734,0.31442466,-0.58128095,0.042881206,0.24121015,-0.117874555,0.6055722,-0.089539684,-0.025655724,0.1837492,0.5084089,0.042505108,0.44264737,-0.38516158,0.0015910236,0.005813183,-0.5072895,0.35051835,-0.14147371,-0.1083233,-0.63357306,0.859051,0.07959752,-0.14948833,0.22561839,-0.2558637,0.12817936,0.10668528,-0.101574205,0.0049759857,0.26378056,-0.29758862,0.02687203,0.6628505,0.23959813,-0.05068728,0.25448453,0.6503343,-0.10803639,0.10997441,0.27760017,0.733892,-0.28478462,0.5263876,-0.15541084,0.31211063,-0.68775725,0.4809252,-0.4049354,-0.0075147697,-0.24231249,0.4291028,-0.11662483,-0.4844669,-0.61075336
Phenylalanine metabolism,-0.29540983,-0.33878097,0.08708647,0.6713608,0.41302213,-0.22791506,-0.63437027,0.10178408,-0.7856172,0.06656852,0.43095744,-1.4308324,-0.028456388,0.5481002,0.5010654,0.54420984,-1.2326157,-0.6994096,-0.086556315,0.56167424,0.8973816,0.7425978,1.3785645,-0.522455,1.0361586,0.06819164,-0.6579247,0.3144954,0.58297366,-0.1600158,0.19724168,-1.5156817,-0.27088633,0.40049246,-1.2541791,-0.11156151,0.032393686,-1.0431018,0.6773364,-0.09253814,-0.7725847,0.01567893,0.40318307,-0.406616,0.34690684,-0.20924786,0.87748325,-0.1802205,-0.17097591,0.2698871,0.03819433,-0.24691226,0.669089,-0.024717672,0.029142408,-1.8986739,-0.6369644,-0.12920249,-0.3877623,-0.13460927,0.665434,0.03622761,0.035828866,0.032783758
Tyrosine metabolism,-0.351509,-0.27330065,0.012580479,0.7464564,0.40264204,-0.27409074,-0.51436615,0.012937807,-0.7730325,0.14900233,0.4815945,-1.4811139,-0.050262462,0.698951,0.31497017,0.7055854,-1.2999561,-0.42746076,-0.07561883,0.5417997,0.81515783,0.6434387,1.3113406,-0.49766746,0.9945597,-0.03295806,-0.7294699,0.09759345,0.74502295,-0.35868758,0.26247835,-1.4023246,-0.28151545,0.3900768,-1.2143388,-0.2556937,0.059718546,-0.91391337,0.5018075,0.020281792,-0.7684197,0.005827487,0.39629942,-0.25378612,0.4889047,-0.25613034,0.7695021,-0.013860837,-0.11455162,0.28231466,-0.15141182,-0.1883356,0.83936095,0.07286183,-0.16243899,-1.865361,-0.8309303,-0.031439405,-0.4948976,-0.10252731,0.656187,0.1095517,-0.0681398,0.2251406
Spinocerebellar ataxia,0.058416273,0.050661582,0.01797013,0.06798211,-0.09945771,0.17355159,0.30010206,0.36633298,-0.453436,-0.03373825,0.22929099,-1.2451409,0.060783748,-0.13843405,-0.2706475,0.82406414,-0.054047797,-0.12418057,0.49022645,0.33905503,-0.18278952,0.3919472,-0.3815547,0.085800156,0.051771525,-0.103046276,0.0166722,-0.19316882,-0.17859092,-0.3303317,0.65523195,-0.2649648,0.054078393,0.05317323,-0.29320082,-0.08333822,0.09618857,0.1259794,-0.13767676,-0.023637556,-0.25230592,-0.286765,0.737868,0.03332546,-0.27045628,0.28627127,0.74474,0.21348071,0.17424022,0.1431994,1.072202,-0.3465792,0.69242346,-0.18646322,0.4853745,-0.58283466,0.29911327,-0.48948786,-0.07821807,-0.22429752,0.17631137,-0.070838414,-0.4300543,-0.30027375
Propanoate metabolism,-0.697085,-0.18420586,-0.60515976,0.400463,0.17892355,0.14590447,0.38327226,-0.019344993,-0.5939889,0.043478023,0.70757776,-0.7809272,0.24745515,0.32246408,0.55569744,0.046813402,-0.6257003,-1.4343936,0.0027850047,0.95469284,0.5608724,1.0169138,-0.16572343,-0.16255541,-0.9302688,0.25672773,-0.024669485,0.008984052,0.3408663,-0.47136015,-0.31439263,-0.31094262,0.44877866,0.19119571,-0.59798187,0.450126,-0.28338084,-0.7134068,0.31294042,0.9570419,-0.17826502,0.20813154,-0.16700685,0.07937399,0.3598163,-0.058808584,0.17760898,0.2531411,-0.046695463,0.8267331,0.6285731,0.79053926,0.43634045,-0.08680644,-0.44469312,-0.4098039,-0.18298988,0.034532826,-0.4756106,0.42264003,-0.16721183,0.3718469,0.34613717,0.009622158
RNA degradation,-0.015409045,-0.016899992,0.2953323,-0.016019467,-0.15035723,0.44861913,0.38031766,-0.1525019,-0.36049718,-0.09771093,0.7437664,-0.88434565,-0.08439897,-0.13034786,-0.19597505,0.6959012,-0.21365982,-0.6102352,0.18984771,0.7159897,0.56102264,0.7694574,-0.4055017,-0.40113539,0.07964523,-0.66988015,0.39785877,-0.43314078,-0.19515373,-1.1946348,0.35243812,0.11671704,0.08067656,0.44749284,-0.50898033,0.11306496,0.19398403,-0.6003587,-0.22153954,0.4197435,-0.49343267,0.35056102,1.1855252,-0.015311148,0.03337872,-0.19638117,0.9298723,-0.43003145,0.31210846,0.2926703,0.16263528,0.016613437,0.5566835,0.2949007,-0.0815707,-1.135756,0.73402995,-0.3021334,0.26918653,-0.54528075,0.6424765,0.0055097584,0.0007540209,-0.56958395
RNA transport,0.023312086,0.064234115,0.22958194,0.018366953,-0.22022624,0.24082501,0.3151454,-0.06803733,-0.4146875,-0.011782342,0.6970332,-0.9110339,-0.27290553,-0.112152725,-0.25548342,0.7916199,-0.14897011,-0.6047306,0.12508638,0.74258155,0.6523329,0.88734514,-0.37725642,-0.21043074,-0.15461141,-0.7220024,0.38264143,-0.21641523,-0.24428682,-1.1064425,0.4384755,0.09378754,0.04775441,0.3452654,-0.2677671,0.14208153,0.19159842,-0.4435944,-0.32116812,0.31479695,-0.3116903,0.19658798,1.2494767,-0.047444075,-0.050405078,-0.17002578,1.034064,-0.34627056,0.03393453,0.47308078,0.051421247,-0.12346613,0.5347345,0.20427117,-0.062075645,-1.0326383,0.89589065,-0.16356319,0.26932558,-0.5100332,0.58916765,-0.03341647,-0.084650524,-0.63590205
RNA polymerase,-0.22222099,0.047871977,0.22967963,0.0123220775,-0.23529905,0.1592041,0.28213567,-0.20782928,-0.36385286,0.05067462,0.4424934,-0.76144344,-0.06673103,-0.2550762,-0.09537671,0.73352146,-0.30686945,-0.4051375,0.089906305,0.47012392,0.14167342,0.7890104,-0.23615494,-0.3072502,0.22218281,-0.56451726,0.36189538,0.034033373,-0.3453965,-0.89134574,0.5700188,0.13171215,0.008652382,0.23114869,-0.26072824,0.39502406,0.3264503,-0.33189127,0.044321068,0.17654784,-0.26962233,0.22753496,0.8850736,0.19903073,-0.1396711,0.24302769,0.77668524,-0.07962064,0.3935005,0.27461267,0.45857546,-0.36329624,0.44816744,0.13414036,0.095767416,-0.7736869,0.56914884,-0.42261076,0.14165594,-0.45553946,0.6413256,-0.03999294,-0.48241407,-0.6033508
Ribosome biogenesis in eukaryotes,-0.2685391,-0.18304347,0.109998934,0.03867314,-0.16414332,0.42912218,0.4194363,-0.10615425,-0.4178405,-0.37899193,0.54944456,-0.7229225,-0.075519465,0.019828806,-0.15515171,0.66848254,-0.2645837,-0.39527488,0.08010552,0.6558967,0.44421342,0.81789476,-0.32801318,-0.37250474,0.08794306,-0.6737859,0.3530922,-0.32420796,-0.24884072,-0.85259485,0.5860185,0.3343979,-0.10504647,0.26830542,-0.25912532,0.3076816,0.15895502,-0.366103,-0.16973361,0.16099794,-0.19733568,0.20545739,1.0795574,0.0059689414,-0.1125013,0.19073658,0.71141285,-0.39612153,0.26580042,0.2591503,0.35219747,-0.33341742,0.71128154,0.22774667,-0.111191966,-0.88703233,0.59083265,-0.43925598,0.22235624,-0.69711304,0.8095343,-0.10603362,-0.26535445,-0.6084257
mRNA surveillance pathway,-0.10063724,-0.06783864,0.31295615,0.04325002,-0.06839568,0.40989736,0.32200688,-0.22106543,-0.29828057,-0.118561864,0.6354162,-0.9354291,-0.14241202,-0.168613,-0.20926484,0.7056653,-0.27111003,-0.57047635,0.17046636,0.6508821,0.6832189,0.8220343,-0.5345191,-0.42862785,0.031964045,-0.6139474,0.46285722,-0.38949588,-0.080391146,-1.179947,0.4826483,0.05915961,0.14271542,0.5266879,-0.4135398,0.055502128,0.21663544,-0.5103826,-0.25126266,0.5177191,-0.5075697,0.48581296,1.2493804,-0.09420779,0.0141257765,-0.15397635,1.0092804,-0.31623447,0.27373976,0.4601731,0.10067573,-0.022708252,0.44252792,0.2962531,-0.12116958,-1.017222,0.7079789,-0.31666544,0.30903983,-0.4764651,0.7107325,-0.08086017,-0.095197454,-0.58709425
Renin secretion,-0.09162668,0.39254868,-0.36674592,0.16855758,0.25621268,0.04091837,-0.48946172,0.4047262,-0.5733395,-0.09326996,0.5524172,-0.2225512,-0.091135405,0.3780936,-0.16570376,-0.20468654,-0.34661883,-0.10868455,0.18495895,-0.13004702,0.48913234,0.2845587,-0.60610914,-0.37631407,0.32587847,0.36100808,-0.31302094,0.25176275,-0.5454915,-0.23336312,0.675762,0.2290603,0.03948573,-0.08245385,-0.25171384,-0.06828276,0.33305487,-0.8321752,0.444662,0.46317947,0.22470064,0.3865335,-0.19477153,-0.07314625,-0.06752074,-0.10232831,0.17710093,0.3103652,-0.14761584,0.35718745,0.80017906,-0.1360738,0.4538883,0.35247648,0.32103437,-0.6495966,0.24748453,-0.045390047,-0.039992694,0.29417342,-0.10376542,-0.22301584,-0.26442388,-0.23291802
Salmonella infection,0.43483552,-0.778558,0.49088115,0.63852584,-0.6681394,0.59014004,-0.008715666,-0.37246242,-0.4112412,-0.21228988,0.1916748,-0.17192048,-0.52180344,0.4379827,-0.0324827,-0.12005019,0.21684174,0.030890401,-0.48556948,0.39067325,0.0063513876,0.068372,0.26234266,-0.5072817,0.34196556,0.10086308,-0.17730553,-0.27363378,-0.17224143,-0.6449099,-0.07985834,-0.41669303,-0.19987576,0.32206312,-0.4189675,0.03973112,0.36035854,-0.18613943,-0.098160304,-0.26258633,-0.12193964,0.39742935,-0.10487731,-0.2626577,0.3806975,-0.06945908,0.23644002,0.0654678,-0.13279341,0.976556,0.2888408,0.011102732,0.076641865,0.3779996,0.40437067,0.059047587,0.43084463,0.293069,0.5195195,0.38674334,-0.42073238,0.17600936,0.5103835,0.48673755
Viral carcinogenesis,0.41681042,-0.02297609,-0.33605567,0.501902,0.77035195,-0.18994504,-0.33577037,0.3213185,-0.9937368,-0.8987338,1.2155888,-0.6101689,-0.4207601,-0.0925801,0.24187385,0.3139374,0.23055506,-0.47099382,0.37755936,0.7887728,-0.14627458,1.3655475,1.0826749,-0.094610885,-0.3693763,0.32737485,-0.104730695,-0.21833642,0.7127074,-1.2472124,-0.13704568,-0.22737601,0.65654993,0.27778944,-0.7863661,-0.5345382,0.8853412,0.059809487,-0.02176193,-0.15199128,0.34678003,0.558698,0.8716752,-0.50452435,0.41586223,-0.28049058,-0.18442708,0.03664066,1.0148711,0.9275156,0.31454507,0.70561296,0.5732075,0.4582621,0.29283878,-0.43773395,0.119487904,-0.4614864,0.44329363,0.10794704,0.13866943,0.32902735,0.04262808,-0.5385114
