pathway,cluster1,cluster2,pvalue,effect_size,adj_p
One carbon pool by folate,1,2,0.2512762518979126,-0.005355178313746239,0.27380840161407044
Starch and sucrose metabolism,1,2,0.2555739549720594,0.0037016245362604394,0.27817573330292183
Protein processing in endoplasmic reticulum,1,2,0.2609705496900228,-0.0015947685826561697,0.28340693179007004
Glycosaminoglycan biosynthesis,0,2,0.26069865217561916,-0.004186687246395454,0.28340693179007004
Arginine and proline metabolism,0,1,0.26513068883639956,0.002841262202054634,0.28759939128016226
Complement and coagulation cascades,0,1,0.28706655800885156,0.005490782743537231,0.31104277165744637
Glucagon signaling pathway,1,2,0.29547236895607143,0.001939257408688555,0.3197897116097278
Glutathione metabolism,1,2,0.3078440542757973,0.0037288054703227824,0.33280438300086196
Glycosaminoglycan degradation,1,2,0.30998332255785,0.0037537870583390087,0.3347401458442475
Primary bile acid biosynthesis,1,2,0.31876354696008047,0.004496977181766587,0.34383483717042385
Spinocerebellar ataxia,1,2,0.32035571121008893,-0.001645879553363594,0.3451644026506009
Insulin secretion,1,2,0.32387422876440947,-0.00266066253334678,0.34856419239218955
Thermogenesis,0,2,0.32443110266411196,-0.0017873140735985005,0.34877251798157616
Purine metabolism,1,2,0.3325116150709247,-0.0014146584809675011,0.357059452425154
mTOR signaling pathway,1,2,0.3331894822364434,-0.001437207065662055,0.35738760105808454
Pathways of neurodegeneration,1,2,0.3397197725983046,-0.0008677364573421165,0.36398547064104064
Other glycan degradation,1,2,0.3413065286725698,-0.003793565529634557,0.3652778902181349
Endocytosis,0,1,0.3418206995868677,0.0009352166499516645,0.36542079243139536
Mitophagy,1,2,0.35589100956738784,0.0014906231814610371,0.38003934280833407
Vasopressin-regulated water reabsorption,1,2,0.38180118465609747,-0.0026218276355950976,0.40725459696650396
Amino sugar and nucleotide sugar metabolism,1,2,0.3835627048132855,0.0028128348554138094,0.4086794635080511
Pentose phosphate pathway,1,2,0.39339686328181517,-0.0025477900682415455,0.418692892184637
African trypanosomiasis,0,1,0.4009832315653625,-0.005239985399304668,0.42629446545154814
C-type lectin receptor signaling pathway,0,1,0.4109707743231397,-0.002155031245261979,0.4364291408741307
Inositol phosphate metabolism,1,2,0.4127802496908358,0.001960146776972982,0.4378663422134833
Folate biosynthesis,1,2,0.4194843069116792,-0.003645555899283545,0.44448668282032233
SNARE interactions in vesicular transport,0,2,0.43330700550379964,-0.001913095107316104,0.45862704000402166
Pantothenate and CoA biosynthesis,1,2,0.440675315126041,-0.0031980073677363857,0.46591222744603455
Maturity onset diabetes of the young,1,2,0.44419980018810346,0.0030519794432725122,0.46912190118875613
Nicotine addiction,1,2,0.44851104549302845,-0.0032814832855487808,0.47315450953110694
Adrenergic signaling in cardiomyocytes,1,2,0.45001804364372316,-0.001696550069178071,0.47422318539843494
Vibrio cholerae infection,1,2,0.4568029086786109,0.0014931121850164653,0.48084516703011676
Hedgehog signaling pathway,1,2,0.4663148119804901,0.0031303055735207586,0.4903200651711615
Phenylalanine metabolism,1,2,0.4836572473463977,0.005120686956562332,0.5079988593572667
Pentose phosphate pathway,0,1,0.49271663205869154,0.0020027216767901923,0.5169485975697747
Bile secretion,1,2,0.49987134876689454,-0.002252735544911774,0.5238826362622475
Retinol metabolism,1,2,0.5163649202295828,-0.0031680356054960557,0.5405783243406755
Human papillomavirus infection,0,1,0.5417545244167157,0.0009361162117346167,0.5665406791285915
Bacterial invasion of epithelial cells,0,1,0.5515050327541432,-0.0008999718695692493,0.5761097186550354
Glyoxylate and dicarboxylate metabolism,0,2,0.558841421818559,-0.0023537431250044705,0.5831388749411051
Riboflavin metabolism,1,2,0.5775064305306188,-0.0033748568560413306,0.601961100227355
Pantothenate and CoA biosynthesis,0,2,0.5795275327276276,-0.0021293277850347736,0.6034126154213909
Salmonella infection,0,1,0.5905028832252093,-0.0006156659885475646,0.6141741797358623
Glycerophospholipid metabolism,1,2,0.6125965667575025,-0.001003999484449708,0.6358084944577095
Nicotinate and nicotinamide metabolism,0,2,0.6126279764306055,-0.0018168943738194054,0.6358084944577095
N-Glycan biosynthesis,1,2,0.6268759832988569,-0.0011488725033924063,0.6498930280420114
Sphingolipid metabolism,0,2,0.6285420357329382,-0.0014435991083893984,0.6509173185583826
Cell cycle,1,2,0.6342028625866835,-0.002444407489634759,0.6560719268138104
Cysteine and methionine metabolism,1,2,0.6393314000076646,0.001545425991569066,0.6606653864449495
"Alanine, aspartate and glutamate metabolism",0,2,0.6446943248241057,-0.0014554269916434298,0.665490915947464
Cortisol synthesis and secretion,1,2,0.6461138890783413,-0.0015033030698541477,0.666239885623209
Alzheimer disease,1,2,0.6527992073344201,-0.00044768314722157254,0.6724112006878147
Colorectal cancer,0,1,0.6776220813434638,-0.000714400560546391,0.6972317235688373
Biosynthesis of unsaturated fatty acids,0,1,0.6796807856991623,-0.001945709144137192,0.6986012358363981
Fatty acid biosynthesis,1,2,0.6918449796063988,0.001360535887439701,0.71034350847288
Terpenoid backbone biosynthesis,0,1,0.7123797734220924,-0.0015972128247483397,0.7306459214585562
Cocaine addiction,1,2,0.7132551340230447,0.0011271084079509108,0.7307629975049338
Porphyrin and chlorophyll metabolism,0,1,0.7459300631952666,-0.0011885532591539155,0.7634252245921704
Sphingolipid metabolism,1,2,0.7668949567695525,-0.0009550781141316189,0.7840459621925138
Pantothenate and CoA biosynthesis,0,1,0.776760814806097,0.0010686795827016121,0.7932876406530354
Aldosterone-regulated sodium reabsorption,1,2,0.7949994824155981,-0.0010362917966674767,0.8110515442284529
AMPK signaling pathway,1,2,0.8059420092339784,-0.0005676929086520233,0.8213421750155194
Diabetic cardiomyopathy,0,2,0.8105360684127643,0.0004941776178965518,0.8251480654042987
GnRH secretion,0,2,0.8151815177311301,0.0006896471171817624,0.8289981536248782
Tyrosine metabolism,1,2,0.8397633471546321,-0.0013942453284706384,0.8530929240935945
Leukocyte transendothelial migration,0,1,0.8563465427458495,-0.000468676336908197,0.8690197473953652
GnRH secretion,0,1,0.8661946065684941,0.0003194195966447176,0.8780853456238167
Sphingolipid metabolism,0,1,0.869998540388039,-0.0004885209942577795,0.8810111801397863
Pentose phosphate pathway,0,2,0.8753634026234244,-0.0005450683914513532,0.8855098698824947
GnRH secretion,1,2,0.89351984137963,0.0003702275205370448,0.9029253133941524
Thyroid cancer,0,1,0.8957607044907556,-0.0002773498480833636,0.904237935132624
TNF signaling pathway,0,1,0.899544869948276,0.0004171054187495915,0.9071040705360766
Renal cell carcinoma,0,1,0.9015296899508355,0.0002321119489082646,0.9081516289116496
D-Glutamine and D-glutamate metabolism,1,2,0.9169764565263786,0.0005625955563696716,0.9227436040517017
Fatty acid degradation,1,2,0.926714851250037,0.0003245547045232777,0.9315667614660059
Chronic myeloid leukemia,0,1,0.9524314574076954,-9.932959795533325e-05,0.9564165262671418
Taste transduction,0,2,0.9588226361072112,-0.00013125319605539199,0.9618283497000238
alpha-Linolenic acid metabolism,1,2,0.9910060804585658,-5.029095737248135e-05,0.9928698640819902
Insulin signaling pathway,1,2,0.9918356246402381,1.79094722942974e-05,0.9928698640819902
Ovarian steroidogenesis,1,2,0.9992030473631957,3.6836067750789514e-06,0.9992030473631957
