pathway,cluster1,cluster2,pvalue,effect_size,adj_p
MAPK signaling pathway,0,1,1.400055323224533e-32,0.02496831674243133,1.0667088176948823e-31
Neutrophil extracellular trap formation,0,1,1.5026796694201987e-32,-0.04816338404873094,1.1358838446010951e-31
PPAR signaling pathway,0,1,1.848750164888642e-32,0.07887965434789461,1.3865626236664817e-31
Toll-like receptor signaling pathway,1,2,2.3531078611520987e-32,0.04535844951205001,1.751150036206213e-31
AMPK signaling pathway,0,2,2.4167826997634702e-32,0.0398564952491367,1.7847010705945626e-31
beta-Alanine metabolism,0,1,2.577003936471282e-32,0.05227386250355244,1.8884914343606344e-31
Cytokine-cytokine receptor interaction,0,2,3.120334547175199e-32,0.05933454757863424,2.2693342161274173e-31
Base excision repair,0,1,3.2288136962706316e-32,-0.05006011214073941,2.3305722920449672e-31
Tyrosine metabolism,0,1,4.8690354304136555e-32,0.0896130419931039,3.4882641889530665e-31
African trypanosomiasis,1,2,5.743275829326894e-32,0.07669503534986374,4.084107256410235e-31
Platelet activation,0,2,6.422805730959744e-32,0.040138276150420565,4.5337452218539375e-31
Proteasome,0,1,7.659088384041217e-32,-0.04154777579013619,5.366952444291656e-31
Cholesterol metabolism,0,2,8.550155372352097e-32,0.060394733811720336,5.947934172071025e-31
Mineral absorption,0,2,8.944329592722289e-32,0.04620389839200091,6.17737871152043e-31
Nitrogen metabolism,0,1,1.0636173619648007e-31,0.06966426287885033,7.293376196330061e-31
Fanconi anemia pathway,0,1,1.0776924390783155e-31,-0.05670422656095375,7.337480436277893e-31
Insulin resistance,0,2,1.2022856642841237e-31,0.03583740350439818,8.128128434596892e-31
Glucagon signaling pathway,0,1,1.7890974518481304e-31,0.026431328886076993,1.2010724152267169e-30
Longevity regulating pathway,0,1,3.2702590639053304e-31,0.02414525431398931,2.1801727092702204e-30
RNA transport,0,2,3.6879206931045336e-31,-0.02862901978750798,2.4416578381933467e-30
Dopaminergic synapse,0,1,3.7671576052653535e-31,0.020388473218562284,2.4770351377087258e-30
Natural killer cell mediated cytotoxicity,1,2,4.128149499680261e-31,0.048799661979578426,2.6959343671381295e-30
Gastric acid secretion,0,1,6.031989037352282e-31,0.02710118116671862,3.912641537742021e-30
Prolactin signaling pathway,0,2,6.302429190945128e-31,0.03308801334967282,4.0606255189982036e-30
Coronavirus disease,1,2,6.544973546850797e-31,0.027011814316140026,4.18878306998451e-30
Prostate cancer,0,2,7.602577336960571e-31,0.03952467283147479,4.833426651312681e-30
Melanoma,0,1,8.912376988113232e-31,0.032600708026048364,5.6288696767030945e-30
AGE-RAGE signaling pathway in diabetic complications,0,2,9.28263672461839e-31,0.05180740943830056,5.8243995134860485e-30
Intestinal immune network for IgA production,1,2,1.0166254528274909e-30,0.09887489438819275,6.324596621571018e-30
PD-L1 expression and PD-1 checkpoint pathway in cancer,0,2,1.0211588295244872e-30,0.031223252282850583,6.324596621571018e-30
Amyotrophic lateral sclerosis,0,2,1.103198426537238e-30,-0.014692293373653242,6.78891339407531e-30
Aldosterone-regulated sodium reabsorption,0,1,1.1596695673071094e-30,0.045065058123389,7.090973150412898e-30
DNA replication,0,1,1.2055802265007399e-30,-0.06965947242397791,7.32504441418171e-30
Amphetamine addiction,0,1,1.3397541333298716e-30,0.029433512968781342,8.089081559727527e-30
Viral protein interaction with cytokine and cytokine receptor,1,2,1.4093023772536485e-30,0.10511689055402965,8.455814263521891e-30
Circadian entrainment,0,1,1.7455669370411277e-30,0.030497146395180114,1.0408349438257657e-29
Cell cycle,0,1,1.9900083845500196e-30,-0.05875166210534846,1.179264227881493e-29
Hepatocellular carcinoma,0,2,2.230446318614729e-30,0.021385896826638717,1.3136370956258525e-29
Propanoate metabolism,0,1,2.3842260909541636e-30,0.06137276061068439,1.3956445410463395e-29
Proximal tubule bicarbonate reclamation,0,1,3.374555432445064e-30,0.061716272836358596,1.9633777061498554e-29
Malaria,0,2,4.230098929517262e-30,0.11284714938130841,2.4463222724919107e-29
Human cytomegalovirus infection,0,2,4.537042704795888e-30,0.026340651770173223,2.6081203572479357e-29
Tyrosine metabolism,0,2,4.917506859726119e-30,0.08821879666463325,2.8100039198434966e-29
JAK-STAT signaling pathway,1,2,5.5571721117155805e-30,0.03782052654218033,3.1567368208561876e-29
Staphylococcus aureus infection,1,2,6.275360235999816e-30,0.07508211927824084,3.543732839152837e-29
Circadian rhythm,0,1,7.70628185588441e-30,0.05793789161196597,4.3263336734789664e-29
B cell receptor signaling pathway,1,2,7.812329161425821e-30,0.05176018632368548,4.3603697645167375e-29
Morphine addiction,0,2,8.541338748841054e-30,0.04506808699021166,4.73970242710255e-29
"Valine, leucine and isoleucine degradation",0,1,8.668297778678126e-30,0.05216333744296339,4.78250911927069e-29
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,0,2,1.3012859183082738e-29,-0.05447803478098834,7.138482751862531e-29
Salivary secretion,0,2,1.5329844129415357e-29,0.036889408383331004,8.361733161499286e-29
Pertussis,1,2,1.6489865061851056e-29,0.04429268948604803,8.943655626766674e-29
Adipocytokine signaling pathway,0,1,1.9812287914776769e-29,0.045580264907747026,1.0685278875385223e-28
PI3K-Akt signaling pathway,0,1,2.169758652535716e-29,0.02887394107001806,1.163669444935356e-28
T cell receptor signaling pathway,1,2,2.2178482829382838e-29,0.04901562172217028,1.1828524175670848e-28
ECM-receptor interaction,0,2,3.230957692884338e-29,0.07098505577205755,1.7136571188778807e-28
Glioma,0,2,4.289339510131869e-29,0.027989915257377068,2.26250875259703e-28
Insulin resistance,0,1,5.187280768299386e-29,0.030594373207909448,2.707834785170057e-28
Relaxin signaling pathway,0,2,5.190016671575943e-29,0.03236927718670318,2.707834785170057e-28
Thyroid hormone synthesis,0,2,6.030085719803819e-29,0.035479210669592864,3.127715163414673e-28
Influenza A,1,2,6.059948129115928e-29,0.042346991411249424,3.127715163414673e-28
NOD-like receptor signaling pathway,1,2,8.990066390343534e-29,0.035467913090338615,4.6152212485186055e-28
Longevity regulating pathway,0,2,1.2235144953318963e-28,0.027213497429333267,6.233425117820882e-28
Graft-versus-host disease,1,2,1.2272055700709861e-28,0.09751782794730202,6.233425117820882e-28
Arrhythmogenic right ventricular cardiomyopathy,0,2,1.3062208638703915e-28,0.0457775925604544,6.599852785871452e-28
Fatty acid biosynthesis,0,1,1.8358992704339189e-28,0.04928676236564031,9.22755654249509e-28
Epstein-Barr virus infection,1,2,1.9667274399914454e-28,0.03936079915358301,9.833637199957226e-28
Asthma,1,2,2.784828547260969e-28,0.10083997547382231,1.385199691901829e-27
Salmonella infection,1,2,3.272276461092377e-28,0.015060257327370874,1.619270826107568e-27
Allograft rejection,1,2,3.608100967042777e-28,0.10356743909965778,1.7762958606979824e-27
Platelet activation,1,2,3.972908901995171e-28,0.033849545562992855,1.9459145642425327e-27
Fatty acid biosynthesis,0,2,4.0296186414689666e-28,0.05064729825308001,1.963672028330055e-27
Non-small cell lung cancer,0,2,4.255987251457151e-28,0.02500670879838271,2.0635089704034672e-27
Bile secretion,0,1,5.466797147040947e-28,0.03484272737608283,2.6372488749544262e-27
Thyroid hormone synthesis,0,1,1.036504403971326e-27,0.026151071396650363,4.975221139062364e-27
Autoimmune thyroid disease,1,2,1.2091101368670088e-27,0.08430055694377571,5.77485438503646e-27
RNA polymerase,0,2,1.2571754971906968e-27,-0.039429485440816814,5.9746954321934106e-27
Chemokine signaling pathway,0,2,1.4755164858990173e-27,0.0381758663120209,6.977811953019984e-27
RIG-I-like receptor signaling pathway,0,1,1.7870108796985826e-27,-0.028840436596723182,8.409462963287448e-27
Amino sugar and nucleotide sugar metabolism,0,1,1.867076484018763e-27,-0.04042625998141558,8.743382559307378e-27
Hepatitis B,1,2,1.957547831251692e-27,0.02357119195341864,9.122553000007887e-27
Taurine and hypotaurine metabolism,0,1,2.22174253582308e-27,0.07702568587913702,1.0303733499469356e-26
Hippo signaling pathway,0,2,2.495021010548606e-27,0.027733286035296123,1.1515481587147412e-26
Circadian entrainment,0,2,2.647796074636432e-27,0.038074732505315616,1.2162125510291744e-26
Ferroptosis,0,2,3.3238332890063586e-27,0.041026870681585836,1.5194666464029067e-26
Gap junction,0,1,3.421609735499724e-27,0.0278929259126669,1.556751348852955e-26
Oocyte meiosis,0,2,3.595421017401492e-27,-0.029861494397830285,1.6281151776912418e-26
Phospholipase D signaling pathway,1,2,4.388176683844351e-27,0.02564269267288237,1.9777697730002708e-26
Fluid shear stress and atherosclerosis,1,2,6.839837578514414e-27,0.02800312816386502,3.0683383529784284e-26
Type I diabetes mellitus,1,2,8.518252177785913e-27,0.08120804367688511,3.8034986468253377e-26
Thiamine metabolism,0,1,1.2176083862776543e-26,0.049955238551751664,5.411592827900685e-26
Mismatch repair,0,1,1.301026102165478e-26,-0.05766355202874632,5.755691511884143e-26
Viral carcinogenesis,0,2,1.3368138913355296e-26,-0.022204547097804173,5.886886860927103e-26
"Growth hormone synthesis, secretion and action",0,1,1.4794437893602718e-26,0.024145653254771166,6.485233049250506e-26
Pyruvate metabolism,0,1,1.7782530548276152e-26,0.05951369265132861,7.75964969379323e-26
Basal transcription factors,0,2,2.7323029043243685e-26,-0.027991825463133252,1.1868827095707664e-25
Progesterone-mediated oocyte maturation,0,2,4.180063435513852e-26,-0.033181822665991664,1.8075949991411252e-25
Shigellosis,1,2,4.6183290586706476e-26,0.013421916675293272,1.9881595947640456e-25
Metabolism of xenobiotics by cytochrome P450,0,1,5.74521588286786e-26,0.061957080667340014,2.46223537837194e-25
Arachidonic acid metabolism,0,2,8.294216915392501e-26,0.046577951473678186,3.5388658839008e-25
Synthesis and degradation of ketone bodies,0,1,8.635536528156482e-26,0.07318288225969383,3.668192507535497e-25
Human immunodeficiency virus 1 infection,1,2,8.941500817365423e-26,0.023805687430163425,3.781427658445289e-25
GnRH signaling pathway,0,1,9.734932010288254e-26,0.020798377217288694,4.098918741174002e-25
