pathway,cluster1,cluster2,pvalue,effect_size,adj_p,Pathway,Importance
Melanoma,0,2,4.219433829488328e-48,0.0534233171924847,3.1158895971606112e-46,Melanoma,0.0064718486930665
Melanoma,0,1,8.912376988113232e-31,0.0326007080260483,5.628869676703095e-30,Melanoma,0.0064718486930665
Melanoma,1,2,2.617444233532167e-13,0.0208226091664363,5.522519701518417e-13,Melanoma,0.0064718486930665
Apelin signaling pathway,0,2,4.1355313579504944e-46,0.0482973012395362,2.2056167242402637e-44,Apelin signaling pathway,0.0062479313463141
Apelin signaling pathway,0,1,1.7454575809226566e-36,0.0319346469540455,2.2643774022780407e-35,Apelin signaling pathway,0.0062479313463141
Apelin signaling pathway,1,2,3.612484249248626e-11,0.0163626542854907,6.853725057863006e-11,Apelin signaling pathway,0.0062479313463141
Cell adhesion molecules,1,2,2.612322603052719e-38,0.068743937492695,4.478267319518947e-37,Cell adhesion molecules,0.0061994196951984
Cell adhesion molecules,0,2,4.0029749502225285e-34,0.0581434588680157,3.4620323893816455e-33,Cell adhesion molecules,0.0061994196951984
Pathogenic Escherichia coli infection,1,2,3.245676310818729e-35,0.024392995715053,3.2456763108187293e-34,Pathogenic Escherichia coli infection,0.0060370148898668
Pathogenic Escherichia coli infection,0,2,5.289507564088219e-20,0.0168920540810574,1.5672615004705833e-19,Pathogenic Escherichia coli infection,0.0060370148898668
Pathogenic Escherichia coli infection,0,1,3.061886844077783e-06,-0.0075009416339956,4.592830266116675e-06,Pathogenic Escherichia coli infection,0.0060370148898668
PI3K-Akt signaling pathway,0,2,7.605837168893599e-56,0.0546820863321764,1.460320736427571e-53,PI3K-Akt signaling pathway,0.0058378484155751
PI3K-Akt signaling pathway,0,1,2.1697586525357157e-29,0.028873941070018,1.163669444935356e-28,PI3K-Akt signaling pathway,0.0058378484155751
PI3K-Akt signaling pathway,1,2,4.030492968170941e-21,0.0258081452621583,1.2769878711036643e-20,PI3K-Akt signaling pathway,0.0058378484155751
"Valine, leucine and isoleucine degradation",0,1,8.668297778678127e-30,0.0521633374429633,4.78250911927069e-29,"Valine, leucine and isoleucine degradation",0.0057878243619443
"Valine, leucine and isoleucine degradation",0,2,4.180106914856181e-12,0.0315611954865505,8.25700131329616e-12,"Valine, leucine and isoleucine degradation",0.0057878243619443
"Valine, leucine and isoleucine degradation",1,2,4.032371220047272e-07,-0.0206021419564128,6.203648030841956e-07,"Valine, leucine and isoleucine degradation",0.0057878243619443
